“X”,“Y”,“Z”,“U”,“V”,“W”,“exx”,“eyy”,“e_xy”,“sigma”
0.5,0.5,0,0.036,-0.495,0,0,0,0,0
0.5,1.5,0,0.036,-0.485,0,0,0,0,0
0.5,2.5,0,0.036,-0.475,0,0,0,0,0
0.5,3.5,0,0.036,-0.465,0,0,0,0,0
0.5,4.5,0,0.036,-0.455,0,0,0,0,0
0.5,5.5,0,0.036,-0.445,0,0,0,0,0
0.5,6.5,0,0.036,-0.435,0,0,0,0,0
0.5,7.5,0,0.036,-0.425,0,0,0,0,0
0.5,8.5,0,0.036,-0.415,0,0,0,0,0
0.5,9.5,0,0.036,-0.405,0,0,0,0,0
0.5,10.5,0,0.036,-0.395,0,0,0,0,0
0.5,11.5,0,0.036,-0.385,0,0,0,0,0
0.5,12.5,0,0.036,-0.375,0,0,0,0,0
0.5,13.5,0,0.036,-0.365,0,0,0,0,0
0.5,14.5,0,0.036,-0.355,0,0,0,0,0
0.5,15.5,0,0.036,-0.345,0,0,0,0,0
0.5,16.5,0,0.036,-0.335,0,0,0,0,0
0.5,17.5,0,0.036,-0.325,0,0,0,0,0
0.5,18.5,0,0.036,-0.315,0,0,0,0,0
0.5,19.5,0,0.036,-0.305,0,0,0,0,0
0.5,20.5,0,0.036,-0.295,0,0,0,0,0
0.5,21.5,0,0.036,-0.285,0,0,0,0,0
0.5,22.5,0,0.036,-0.275,0,0,0,0,0
0.5,23.5,0,0.036,-0.265,0,0,0,0,0
0.5,24.5,0,0.036,-0.255,0,0,0,0,0
0.5,25.5,0,0.036,-0.245,0,0,0,0,0
0.5,26.5,0,0.036,-0.235,0,0,0,0,0
0.5,27.5,0,0.036,-0.225,0,0,0,0,0
0.5,28.5,0,0.036,-0.215,0,0,0,0,0
0.5,29.5,0,0.036,-0.205,0,0,0,0,0
0.5,30.5,0,0.036,-0.195,0,0,0,0,0
0.5,31.5,0,0.036,-0.185,0,0,0,0,0
0.5,32.5,0,0.036,-0.175,0,0,0,0,0
0.5,33.5,0,0.036,-0.165,0,0,0,0,0
0.5,34.5,0,0.036,-0.155,0,0,0,0,0
0.5,35.5,0,0.036,-0.145,0,0,0,0,0
0.5,36.5,0,0.036,-0.135,0,0,0,0,0
0.5,37.5,0,0.036,-0.125,0,0,0,0,0
0.5,38.5,0,0.036,-0.115,0,0,0,0,0
0.5,39.5,0,0.036,-0.105,0,0,0,0,0
0.5,40.5,0,0.036,-0.095,0,0,0,0,0
0.5,41.5,0,0.036,-0.085,0,0,0,0,0
0.5,42.5,0,0.036,-0.075,0,0,0,0,0
0.5,43.5,0,0.036,-0.065,0,0,0,0,0
0.5,44.5,0,0.036,-0.055,0,0,0,0,0
0.5,45.5,0,0,0,0,0,0,0,0
0.5,46.5,0,0,0,0,0,0,0,0
0.5,47.5,0,0,0,0,0,0,0,0
0.5,48.5,0,0,0,0,0,0,0,0
0.5,49.5,0,0,0,0,0,0,0,0
0.5,50.5,0,0,0,0,0,0,0,0
0.5,51.5,0,0,0,0,0,0,0,0
0.5,52.5,0,0,0,0,0,0,0,0
0.5,53.5,0,0,0,0,0,0,0,0
0.5,54.5,0,0,0,0,0,0,0,0
1.5,0.5,0,0.033,-0.495,0,0,0,0,0
1.5,1.5,0,0.033,-0.485,0,0,0,0,0
1.5,2.5,0,0.033,-0.475,0,0,0,0,0
1.5,3.5,0,0.033,-0.465,0,0,0,0,0
1.5,4.5,0,0.033,-0.455,0,0,0,0,0
1.5,5.5,0,0.033,-0.445,0,0,0,0,0
1.5,6.5,0,0.033,-0.435,0,0,0,0,0
1.5,7.5,0,0.033,-0.425,0,0,0,0,0
1.5,8.5,0,0.033,-0.415,0,0,0,0,0
1.5,9.5,0,0.033,-0.405,0,0,0,0,0
1.5,10.5,0,0.033,-0.395,0,0,0,0,0
1.5,11.5,0,0.033,-0.385,0,0,0,0,0
1.5,12.5,0,0.033,-0.375,0,0,0,0,0
1.5,13.5,0,0.033,-0.365,0,0,0,0,0
1.5,14.5,0,0.033,-0.355,0,0,0,0,0
1.5,15.5,0,0.033,-0.345,0,0,0,0,0
1.5,16.5,0,0.033,-0.335,0,0,0,0,0
1.5,17.5,0,0.033,-0.325,0,0,0,0,0
1.5,18.5,0,0.033,-0.315,0,0,0,0,0
1.5,19.5,0,0.033,-0.305,0,0,0,0,0
1.5,20.5,0,0.033,-0.295,0,0,0,0,0
1.5,21.5,0,0.033,-0.285,0,0,0,0,0
1.5,22.5,0,0.033,-0.275,0,0,0,0,0
1.5,23.5,0,0.033,-0.265,0,0,0,0,0
1.5,24.5,0,0.033,-0.255,0,0,0,0,0
1.5,25.5,0,0.033,-0.245,0,0,0,0,0
1.5,26.5,0,0.033,-0.235,0,0,0,0,0
1.5,27.5,0,0.033,-0.225,0,0,0,0,0
1.5,28.5,0,0.033,-0.215,0,0,0,0,0
1.5,29.5,0,0.033,-0.205,0,0,0,0,0
1.5,30.5,0,0.033,-0.195,0,0,0,0,0
1.5,31.5,0,0.033,-0.185,0,0,0,0,0
1.5,32.5,0,0.033,-0.175,0,0,0,0,0
1.5,33.5,0,0.033,-0.165,0,0,0,0,0
1.5,34.5,0,0.033,-0.155,0,0,0,0,0
1.5,35.5,0,0.033,-0.145,0,0,0,0,0
1.5,36.5,0,0.033,-0.135,0,0,0,0,0
1.5,37.5,0,0.033,-0.125,0,0,0,0,0
1.5,38.5,0,0.033,-0.115,0,0,0,0,0
1.5,39.5,0,0.033,-0.105,0,0,0,0,0
1.5,40.5,0,0.033,-0.095,0,0,0,0,0
1.5,41.5,0,0.033,-0.085,0,0,0,0,0
1.5,42.5,0,0.033,-0.075,0,0,0,0,0
1.5,43.5,0,0.033,-0.065,0,0,0,0,0
1.5,44.5,0,0.033,-0.055,0,0,0,0,0
1.5,45.5,0,0,0,0,0,0,0,0
1.5,46.5,0,0,0,0,0,0,0,0
1.5,47.5,0,0,0,0,0,0,0,0
1.5,48.5,0,0,0,0,0,0,0,0
1.5,49.5,0,0,0,0,0,0,0,0
1.5,50.5,0,0,0,0,0,0,0,0
1.5,51.5,0,0,0,0,0,0,0,0
1.5,52.5,0,0,0,0,0,0,0,0
1.5,53.5,0,0,0,0,0,0,0,0
1.5,54.5,0,0,0,0,0,0,0,0
2.5,0.5,0,0.03,-0.495,0,0,0,0,0
2.5,1.5,0,0.03,-0.485,0,0,0,0,0
2.5,2.5,0,0.03,-0.475,0,0,0,0,0
2.5,3.5,0,0.03,-0.465,0,0,0,0,0
2.5,4.5,0,0.03,-0.455,0,0,0,0,0
2.5,5.5,0,0.03,-0.445,0,0,0,0,0
2.5,6.5,0,0.03,-0.435,0,0,0,0,0
2.5,7.5,0,0.03,-0.425,0,0,0,0,0
2.5,8.5,0,0.03,-0.415,0,0,0,0,0
2.5,9.5,0,0.03,-0.405,0,0,0,0,0
2.5,10.5,0,0.03,-0.395,0,0,0,0,0
2.5,11.5,0,0.03,-0.385,0,0,0,0,0
2.5,12.5,0,0.03,-0.375,0,0,0,0,0
2.5,13.5,0,0.03,-0.365,0,0,0,0,0
2.5,14.5,0,0.03,-0.355,0,0,0,0,0
2.5,15.5,0,0.03,-0.345,0,0,0,0,0
2.5,16.5,0,0.03,-0.335,0,0,0,0,0
2.5,17.5,0,0.03,-0.325,0,0,0,0,0
2.5,18.5,0,0.03,-0.315,0,0,0,0,0
2.5,19.5,0,0.03,-0.305,0,0,0,0,0
2.5,20.5,0,0.03,-0.295,0,0,0,0,0
2.5,21.5,0,0.03,-0.285,0,0,0,0,0
2.5,22.5,0,0.03,-0.275,0,0,0,0,0
2.5,23.5,0,0.03,-0.265,0,0,0,0,0
2.5,24.5,0,0.03,-0.255,0,0,0,0,0
2.5,25.5,0,0.03,-0.245,0,0,0,0,0
2.5,26.5,0,0.03,-0.235,0,0,0,0,0
2.5,27.5,0,0.03,-0.225,0,0,0,0,0
2.5,28.5,0,0.03,-0.215,0,0,0,0,0
2.5,29.5,0,0.03,-0.205,0,0,0,0,0
2.5,30.5,0,0.03,-0.195,0,0,0,0,0
2.5,31.5,0,0.03,-0.185,0,0,0,0,0
2.5,32.5,0,0.03,-0.175,0,0,0,0,0
2.5,33.5,0,0.03,-0.165,0,0,0,0,0
2.5,34.5,0,0.03,-0.155,0,0,0,0,0
2.5,35.5,0,0.03,-0.145,0,0,0,0,0
2.5,36.5,0,0.03,-0.135,0,0,0,0,0
2.5,37.5,0,0.03,-0.125,0,0,0,0,0
2.5,38.5,0,0.03,-0.115,0,0,0,0,0
2.5,39.5,0,0.03,-0.105,0,0,0,0,0
2.5,40.5,0,0.03,-0.095,0,0,0,0,0
2.5,41.5,0,0.03,-0.085,0,0,0,0,0
2.5,42.5,0,0.03,-0.075,0,0,0,0,0
2.5,43.5,0,0.03,-0.065,0,0,0,0,0
2.5,44.5,0,0.03,-0.055,0,0,0,0,0
2.5,45.5,0,0,0,0,0,0,0,0
2.5,46.5,0,0,0,0,0,0,0,0
2.5,47.5,0,0,0,0,0,0,0,0
2.5,48.5,0,0,0,0,0,0,0,0
2.5,49.5,0,0,0,0,0,0,0,0
2.5,50.5,0,0,0,0,0,0,0,0
2.5,51.5,0,0,0,0,0,0,0,0
2.5,52.5,0,0,0,0,0,0,0,0
2.5,53.5,0,0,0,0,0,0,0,0
2.5,54.5,0,0,0,0,0,0,0,0
3.5,0.5,0,0.027,-0.495,0,0,0,0,0
3.5,1.5,0,0.027,-0.485,0,0,0,0,0
3.5,2.5,0,0.027,-0.475,0,0,0,0,0
3.5,3.5,0,0.027,-0.465,0,0,0,0,0
3.5,4.5,0,0.027,-0.455,0,0,0,0,0
3.5,5.5,0,0.027,-0.445,0,0,0,0,0
3.5,6.5,0,0.027,-0.435,0,0,0,0,0
3.5,7.5,0,0.027,-0.425,0,0,0,0,0
3.5,8.5,0,0.027,-0.415,0,0,0,0,0
3.5,9.5,0,0.027,-0.405,0,0,0,0,0
3.5,10.5,0,0.027,-0.395,0,0,0,0,0
3.5,11.5,0,0.027,-0.385,0,0,0,0,0
3.5,12.5,0,0.027,-0.375,0,0,0,0,0
3.5,13.5,0,0.027,-0.365,0,0,0,0,0
3.5,14.5,0,0.027,-0.355,0,0,0,0,0
3.5,15.5,0,0.027,-0.345,0,0,0,0,0
3.5,16.5,0,0.027,-0.335,0,0,0,0,0
3.5,17.5,0,0.027,-0.325,0,0,0,0,0
3.5,18.5,0,0.027,-0.315,0,0,0,0,0
3.5,19.5,0,0.027,-0.305,0,0,0,0,0
3.5,20.5,0,0.027,-0.295,0,0,0,0,0
3.5,21.5,0,0.027,-0.285,0,0,0,0,0
3.5,22.5,0,0.027,-0.275,0,0,0,0,0
3.5,23.5,0,0.027,-0.265,0,0,0,0,0
3.5,24.5,0,0.027,-0.255,0,0,0,0,0
3.5,25.5,0,0.027,-0.245,0,0,0,0,0
