“X”,“Y”,“Z”,“U”,“V”,“W”,“exx”,“eyy”,“exy”,“sigma”
-0.25,0,0,0,0,0,0,0,0,0
0.25,0,0,0.0025,0,0,0,0,0,0
0.75,0,0,0.0075,0,0,0,0,0,0
1.25,0,0,0.0125,0,0,0,0,0,0
1.75,0,0,0.0175,0,0,0,0,0,0
2.25,0,0,0.0225,0,0,0,0,0,0
2.75,0,0,0.0275,0,0,0,0,0,0
3.25,0,0,0.0325,0,0,0,0,0,0
3.75,0,0,0.0375,0,0,0,0,0,0
4.25,0,0,0.0425,0,0,0,0,0,0
4.75,0,0,0.0475,0,0,0,0,0,0
5.25,0,0,0.0525,0,0,0,0,0,0
5.75,0,0,0.0575,0,0,0,0,0,0
6.25,0,0,0.0625,0,0,0,0,0,0
6.75,0,0,0.0675,0,0,0,0,0,0
7.25,0,0,0.0725,0,0,0,0,0,0
7.75,0,0,0.0775,0,0,0,0,0,0
8.25,0,0,0.0825,0,0,0,0,0,0
8.75,0,0,0.0875,0,0,0,0,0,0
9.25,0,0,0.0925,0,0,0,0,0,0
9.75,0,0,0.0975,0,0,0,0,0,0
10.25,0,0,0.1025,0,0,0,0,0,0
10.75,0,0,0.1075,0,0,0,0,0,0
11.25,0,0,0.1125,0,0,0,0,0,0
11.75,0,0,0.1175,0,0,0,0,0,0
12.25,0,0,0.1225,0,0,0,0,0,0
12.75,0,0,0.1275,0,0,0,0,0,0
13.25,0,0,0.1325,0,0,0,0,0,0
13.75,0,0,0.1375,0,0,0,0,0,0
14.25,0,0,0.1425,0,0,0,0,0,0
14.75,0,0,0.1475,0,0,0,0,0,0
15.25,0,0,0.1525,0,0,0,0,0,0
15.75,0,0,0.1575,0,0,0,0,0,0
